bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Luke1:1 ,WORD,Forasmuch,G1895,Gospels,New Testament,Luke,KJV
1,Luke1:1 ,PHRASE,as many,G4183,Gospels,New Testament,Luke,KJV
1,Luke1:1 ,PHRASE,have taken in hand,G2021,Gospels,New Testament,Luke,KJV
1,Luke1:1 ,PHRASE,to set forth in order,G392,Gospels,New Testament,Luke,KJV
1,Luke1:1 ,PHRASE,a declaration,G1335,Gospels,New Testament,Luke,KJV
1,Luke1:1 ,WORD,of,G4012,Gospels,New Testament,Luke,KJV
1,Luke1:1 ,PHRASE,those things,G4229,Gospels,New Testament,Luke,KJV
1,Luke1:1 ,PHRASE,which are,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:1 ,PHRASE,most surely believed,G4135,Gospels,New Testament,Luke,KJV
1,Luke1:1 ,WORD,among,G1722,Gospels,New Testament,Luke,KJV
1,Luke1:1 ,WORD,"us,",G2254,Gospels,New Testament,Luke,KJV
1,Luke1:2 ,WORD,Even,G2531,Gospels,New Testament,Luke,KJV
1,Luke1:2 ,PHRASE,as they delivered,G3860,Gospels,New Testament,Luke,KJV
1,Luke1:2 ,PHRASE,"them unto us,",G2254,Gospels,New Testament,Luke,KJV
1,Luke1:2 ,WORD,which,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:2 ,WORD,from,G575,Gospels,New Testament,Luke,KJV
1,Luke1:2 ,PHRASE,the beginning,G746,Gospels,New Testament,Luke,KJV
1,Luke1:2 ,WORD,were,G1096,Gospels,New Testament,Luke,KJV
1,Luke1:2 ,WORD,"eyewitnesses,",G845,Gospels,New Testament,Luke,KJV
1,Luke1:2 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:2 ,WORD,ministers,G5257,Gospels,New Testament,Luke,KJV
1,Luke1:2 ,PHRASE,of the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:2 ,WORD,word;,G3056,Gospels,New Testament,Luke,KJV
1,Luke1:3 ,PHRASE,It seemed,G1380,Gospels,New Testament,Luke,KJV
1,Luke1:3 ,PHRASE,"good to me also,",G2504,Gospels,New Testament,Luke,KJV
1,Luke1:3 ,PHRASE,having had perfect,G199,Gospels,New Testament,Luke,KJV
1,Luke1:3 ,WORD,understanding,G3877,Gospels,New Testament,Luke,KJV
1,Luke1:3 ,PHRASE,of all things,G3956,Gospels,New Testament,Luke,KJV
1,Luke1:3 ,PHRASE,"from the very first,",G509,Gospels,New Testament,Luke,KJV
1,Luke1:3 ,PHRASE,to write,G1125,Gospels,New Testament,Luke,KJV
1,Luke1:3 ,PHRASE,unto thee,G4671,Gospels,New Testament,Luke,KJV
1,Luke1:3 ,PHRASE,"in order,",G2517,Gospels,New Testament,Luke,KJV
1,Luke1:3 ,PHRASE,most excellent,G2903,Gospels,New Testament,Luke,KJV
1,Luke1:3 ,WORD,"Theophilus,",G2321,Gospels,New Testament,Luke,KJV
1,Luke1:4 ,WORD,That,G2443,Gospels,New Testament,Luke,KJV
1,Luke1:4 ,PHRASE,thou mightest know,G1921,Gospels,New Testament,Luke,KJV
1,Luke1:4 ,WORD,the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:4 ,WORD,certainty,G803,Gospels,New Testament,Luke,KJV
1,Luke1:4 ,WORD,of,G4012,Gospels,New Testament,Luke,KJV
1,Luke1:4 ,PHRASE,"those things,",G3056,Gospels,New Testament,Luke,KJV
1,Luke1:4 ,WORD,wherein,G3739,Gospels,New Testament,Luke,KJV
1,Luke1:4 ,PHRASE,thou hast been instructed.,G2727,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,PHRASE,There was,G1096,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,in,G1722,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,days,G2250,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,PHRASE,"of Herod,",G2264,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,king,G935,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,PHRASE,"of Judaea,",G2449,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,PHRASE,a certain,G5100,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,priest,G2409,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,named,G3686,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,"Zacharias,",G2197,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,of,G1537,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,PHRASE,the course,G2183,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,PHRASE,of Abia:,G7,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,his,G846,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,wife,G1135,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,[was],,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,of,G1537,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,daughters,G2364,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,PHRASE,"of Aaron,",G2,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,her,G846,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,name,G3686,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,[was],,Gospels,New Testament,Luke,KJV
1,Luke1:5 ,WORD,Elisabeth.,G1665,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,WORD,And,G1161,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,PHRASE,they were,G2258,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,WORD,both,G297,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,WORD,righteous,G1342,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,WORD,before,G1799,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,WORD,"God,",G2316,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,WORD,walking,G4198,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,WORD,in,G1722,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,WORD,all,G3956,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,WORD,the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,WORD,commandments,G1785,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,WORD,ordinances,G1345,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,PHRASE,of the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,WORD,Lord,G2962,Gospels,New Testament,Luke,KJV
1,Luke1:6 ,WORD,blameless.,G273,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,And,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,they,G846,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,had,G2258,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,no,G3756,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,"child,",G5043,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,because,G2530,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,that,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,Elisabeth,G1665,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,was,G2258,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,"barren,",G4723,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,they,G846,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,both,G297,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,were,G2258,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,[now],,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,PHRASE,well stricken,G4260,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,in,G1722,Gospels,New Testament,Luke,KJV
1,Luke1:7 ,WORD,years.,G2250,Gospels,New Testament,Luke,KJV
1,Luke1:8 ,WORD,And,G1161,Gospels,New Testament,Luke,KJV
1,Luke1:8 ,PHRASE,"it came to pass,",G1096,Gospels,New Testament,Luke,KJV
1,Luke1:8 ,PHRASE,that while,G1722,Gospels,New Testament,Luke,KJV
1,Luke1:8 ,WORD,he,G846,Gospels,New Testament,Luke,KJV
1,Luke1:8 ,PHRASE,executed the priest's office,G2407,Gospels,New Testament,Luke,KJV
1,Luke1:8 ,WORD,before,G1725,Gospels,New Testament,Luke,KJV
1,Luke1:8 ,WORD,God,G2316,Gospels,New Testament,Luke,KJV
1,Luke1:8 ,WORD,in,G1722,Gospels,New Testament,Luke,KJV
1,Luke1:8 ,WORD,the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:8 ,WORD,order,G5010,Gospels,New Testament,Luke,KJV
1,Luke1:8 ,PHRASE,of his,G846,Gospels,New Testament,Luke,KJV
1,Luke1:8 ,WORD,"course,",G2183,Gospels,New Testament,Luke,KJV
1,Luke1:9 ,WORD,According,G2596,Gospels,New Testament,Luke,KJV
1,Luke1:9 ,PHRASE,to the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:9 ,WORD,custom,G1485,Gospels,New Testament,Luke,KJV
1,Luke1:9 ,PHRASE,of the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:9 ,PHRASE,"priest's office,",G2405,Gospels,New Testament,Luke,KJV
1,Luke1:9 ,PHRASE,his lot,G2975,Gospels,New Testament,Luke,KJV
1,Luke1:9 ,PHRASE,was to burn incense,G2370,Gospels,New Testament,Luke,KJV
1,Luke1:9 ,PHRASE,when he went,G1525,Gospels,New Testament,Luke,KJV
1,Luke1:9 ,WORD,into,G1519,Gospels,New Testament,Luke,KJV
1,Luke1:9 ,WORD,the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:9 ,WORD,temple,G3485,Gospels,New Testament,Luke,KJV
1,Luke1:9 ,PHRASE,of the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:9 ,WORD,Lord.,G2962,Gospels,New Testament,Luke,KJV
1,Luke1:10 ,WORD,And,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:10 ,PHRASE,the whole,G3956,Gospels,New Testament,Luke,KJV
1,Luke1:10 ,WORD,multitude,G4128,Gospels,New Testament,Luke,KJV
1,Luke1:10 ,PHRASE,of the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:10 ,WORD,people,G2992,Gospels,New Testament,Luke,KJV
1,Luke1:10 ,WORD,were,G2258,Gospels,New Testament,Luke,KJV
1,Luke1:10 ,WORD,praying,G4336,Gospels,New Testament,Luke,KJV
1,Luke1:10 ,WORD,without,G1854,Gospels,New Testament,Luke,KJV
1,Luke1:10 ,PHRASE,at the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:10 ,WORD,time,G5610,Gospels,New Testament,Luke,KJV
1,Luke1:10 ,PHRASE,of incense.,G2368,Gospels,New Testament,Luke,KJV
1,Luke1:11 ,WORD,And,G1161,Gospels,New Testament,Luke,KJV
1,Luke1:11 ,PHRASE,there appeared,G3700,Gospels,New Testament,Luke,KJV
1,Luke1:11 ,PHRASE,unto him,G846,Gospels,New Testament,Luke,KJV
1,Luke1:11 ,PHRASE,an angel,G32,Gospels,New Testament,Luke,KJV
1,Luke1:11 ,PHRASE,of the Lord,G2962,Gospels,New Testament,Luke,KJV
1,Luke1:11 ,WORD,standing,G2476,Gospels,New Testament,Luke,KJV
1,Luke1:11 ,WORD,on,G1537,Gospels,New Testament,Luke,KJV
1,Luke1:11 ,PHRASE,the right side,G1188,Gospels,New Testament,Luke,KJV
1,Luke1:11 ,PHRASE,of the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:11 ,WORD,altar,G2379,Gospels,New Testament,Luke,KJV
1,Luke1:11 ,PHRASE,of incense.,G2368,Gospels,New Testament,Luke,KJV
1,Luke1:12 ,WORD,And,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:12 ,PHRASE,when Zacharias,G2197,Gospels,New Testament,Luke,KJV
1,Luke1:12 ,WORD,saw,G3708,Gospels,New Testament,Luke,KJV
1,Luke1:12 ,WORD,"[him],",,Gospels,New Testament,Luke,KJV
1,Luke1:12 ,PHRASE,"he was troubled,",G5015,Gospels,New Testament,Luke,KJV
1,Luke1:12 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:12 ,WORD,fear,G5401,Gospels,New Testament,Luke,KJV
1,Luke1:12 ,WORD,fell,G1968,Gospels,New Testament,Luke,KJV
1,Luke1:12 ,WORD,upon,G1909,Gospels,New Testament,Luke,KJV
1,Luke1:12 ,WORD,him.,G846,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,But,G1161,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,angel,G32,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,said,G2036,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,unto,G4314,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,"him,",G846,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,Fear,G5399,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,"not,",G3361,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,Zacharias:,G2197,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,for,G1360,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,thy,G4675,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,prayer,G1162,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,PHRASE,is heard;,G1522,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,thy,G4675,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,wife,G1135,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,Elisabeth,G1665,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,PHRASE,shall bear,G1080,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,thee,G4671,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,PHRASE,"a son,",G5207,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,PHRASE,thou shalt call,G2564,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,his,G846,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,name,G3686,Gospels,New Testament,Luke,KJV
1,Luke1:13 ,WORD,John.,G2491,Gospels,New Testament,Luke,KJV
1,Luke1:14 ,WORD,And,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:14 ,WORD,thou,G4671,Gospels,New Testament,Luke,KJV
1,Luke1:14 ,PHRASE,shalt have,G2071,Gospels,New Testament,Luke,KJV
1,Luke1:14 ,WORD,joy,G5479,Gospels,New Testament,Luke,KJV
1,Luke1:14 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:14 ,WORD,gladness;,G20,Gospels,New Testament,Luke,KJV
1,Luke1:14 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:14 ,WORD,many,G4183,Gospels,New Testament,Luke,KJV
1,Luke1:14 ,PHRASE,shall rejoice,G5463,Gospels,New Testament,Luke,KJV
1,Luke1:14 ,WORD,at,G1909,Gospels,New Testament,Luke,KJV
1,Luke1:14 ,WORD,his,G846,Gospels,New Testament,Luke,KJV
1,Luke1:14 ,WORD,birth.,G1083,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,WORD,For,G1063,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,PHRASE,he shall be,G2071,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,WORD,great,G3173,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,PHRASE,in the sight,G1799,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,PHRASE,of the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,WORD,"Lord,",G2962,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,PHRASE,shall drink,G4095,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,WORD,,G3756,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,WORD,neither,G3361,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,WORD,wine,G3631,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,WORD,nor,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,PHRASE,strong drink;,G4608,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,PHRASE,he shall be filled,G4130,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,PHRASE,with the Holy,G40,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,WORD,"Ghost,",G4151,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,WORD,even,G2089,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,WORD,from,G1537,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,WORD,his,G846,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,WORD,mother's,G3384,Gospels,New Testament,Luke,KJV
1,Luke1:15 ,WORD,womb.,G2836,Gospels,New Testament,Luke,KJV
1,Luke1:16 ,WORD,And,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:16 ,WORD,many,G4183,Gospels,New Testament,Luke,KJV
1,Luke1:16 ,PHRASE,of the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:16 ,WORD,children,G5207,Gospels,New Testament,Luke,KJV
1,Luke1:16 ,PHRASE,of Israel,G2474,Gospels,New Testament,Luke,KJV
1,Luke1:16 ,PHRASE,shall he turn,G1994,Gospels,New Testament,Luke,KJV
1,Luke1:16 ,WORD,to,G1909,Gospels,New Testament,Luke,KJV
1,Luke1:16 ,PHRASE,the Lord,G2962,Gospels,New Testament,Luke,KJV
1,Luke1:16 ,WORD,their,G846,Gospels,New Testament,Luke,KJV
1,Luke1:16 ,WORD,God.,G2316,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,WORD,And,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,WORD,he,G846,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,PHRASE,shall go,G4281,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,WORD,before,G1799,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,WORD,him,G846,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,WORD,in,G1722,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,PHRASE,the spirit,G4151,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,WORD,power,G1411,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,PHRASE,"of Elias,",G2243,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,PHRASE,to turn,G1994,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,PHRASE,the hearts,G2588,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,PHRASE,of the fathers,G3962,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,WORD,to,G1909,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,PHRASE,"the children,",G5043,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,PHRASE,the disobedient,G545,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,WORD,to,G1722,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,PHRASE,the wisdom,G5428,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,PHRASE,of the just;,G1342,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,PHRASE,to make ready,G2090,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,PHRASE,a people,G2992,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,WORD,prepared,G2680,Gospels,New Testament,Luke,KJV
1,Luke1:17 ,PHRASE,for the Lord.,G2962,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,And,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,Zacharias,G2197,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,said,G2036,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,unto,G4314,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,"angel,",G32,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,Whereby,G2596,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,,G5101,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,PHRASE,shall I know,G1097,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,this?,G5124,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,for,G1063,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,I,G1473,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,am,G1510,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,PHRASE,"an old man,",G4246,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,my,G3450,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,wife,G1135,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,PHRASE,well stricken,G4260,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,in,G1722,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,years.,G2250,Gospels,New Testament,Luke,KJV
1,Luke1:18 ,WORD,,G846,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,And,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,angel,G32,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,answering,G611,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,said,G2036,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,PHRASE,"unto him,",G846,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,I,G1473,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,am,G1510,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,"Gabriel,",G1043,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,that,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,stand,G3936,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,PHRASE,in the presence,G1799,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,PHRASE,of God;,G2316,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,PHRASE,am sent,G649,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,PHRASE,to speak,G2980,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,unto,G4314,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,"thee,",G4571,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,PHRASE,to shew,G2097,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,thee,G4671,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,WORD,these,G5023,Gospels,New Testament,Luke,KJV
1,Luke1:19 ,PHRASE,glad tidings.,G2097,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,"And,",G2532,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,"behold,",G2400,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,thou,G2071,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,PHRASE,"shalt be dumb,",G4623,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,not,G3361,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,able,G1410,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,PHRASE,"to speak,",G2980,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,until,G891,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,PHRASE,the day,G2250,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,that,G3739,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,PHRASE,these things,G5023,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,PHRASE,"shall be performed,",G1096,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,because,G473,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,,G3739,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,PHRASE,thou believest,G4100,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,not,G3756,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,my,G3450,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,"words,",G3056,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,which,G3748,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,PHRASE,shall be fulfilled,G4137,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,in,G1519,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,their,G846,Gospels,New Testament,Luke,KJV
1,Luke1:20 ,WORD,season.,G2540,Gospels,New Testament,Luke,KJV
1,Luke1:21 ,WORD,And,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:21 ,WORD,the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:21 ,WORD,people,G2992,Gospels,New Testament,Luke,KJV
1,Luke1:21 ,WORD,waited,G2258,Gospels,New Testament,Luke,KJV
1,Luke1:21 ,WORD,,G4328,Gospels,New Testament,Luke,KJV
1,Luke1:21 ,PHRASE,"for Zacharias,",G2197,Gospels,New Testament,Luke,KJV
1,Luke1:21 ,WORD,and,G2532,Gospels,New Testament,Luke,KJV
1,Luke1:21 ,WORD,marvelled,G2296,Gospels,New Testament,Luke,KJV
1,Luke1:21 ,WORD,that,G1722,Gospels,New Testament,Luke,KJV
1,Luke1:21 ,WORD,he,G846,Gospels,New Testament,Luke,KJV
1,Luke1:21 ,PHRASE,tarried so long,G5549,Gospels,New Testament,Luke,KJV
1,Luke1:21 ,WORD,in,G1722,Gospels,New Testament,Luke,KJV
1,Luke1:21 ,WORD,the,G3588,Gospels,New Testament,Luke,KJV
1,Luke1:21 ,WORD,temple.,G3485,Gospels,New Testament,Luke,KJV
1,Luke1:22 ,WORD,And,G1161,Gospels,New Testament,Luke,KJV
1,Luke1:22 ,PHRASE,"when he came out,",G1831,Gospels,New Testament,Luke,KJV
1,Luke1:22 ,PHRASE,he could,G1410,Gospels,New Testament,Luke,KJV
