bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Jeremiah1:1,PHRASE,The words,H1697,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:1,PHRASE,of Jeremiah,H3414,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:1,PHRASE,the son,H1121,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:1,PHRASE,"of Hilkiah,",H2518,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:1,WORD,of,H4480,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:1,PHRASE,the priests,H3548,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:1,WORD,that,H834,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:1,WORD,[were],,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:1,PHRASE,in Anathoth,H6068,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:1,PHRASE,in the land,H776,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:1,PHRASE,of Benjamin:,H1144,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,PHRASE,To whom,H834,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,PHRASE,the word,H1697,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,PHRASE,of the LORD,H3068,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,WORD,came,H1961,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,PHRASE,in the days,H3117,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,PHRASE,of Josiah,H2977,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,PHRASE,the son,H1121,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,PHRASE,of Amon,H526,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,WORD,king,H4428,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,PHRASE,"of Judah,",H3063,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,WORD,in,H7969,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,WORD,the,H8141,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,WORD,thirteenth,H7969,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,WORD,,H6240,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,WORD,year,H8141,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:2,PHRASE,of his reign.,H4427,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,PHRASE,It came also,H1961,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,PHRASE,in the days,H3117,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,PHRASE,of Jehoiakim,H3079,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,PHRASE,the son,H1121,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,PHRASE,of Josiah,H2977,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,WORD,king,H4428,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,PHRASE,"of Judah,",H3063,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,WORD,unto,H5704,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,PHRASE,the end,H8552,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,WORD,of,H6249,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,WORD,the,H8141,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,WORD,eleventh,H6249,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,WORD,,H6240,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,WORD,year,H8141,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,PHRASE,of Zedekiah,H6667,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,PHRASE,the son,H1121,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,PHRASE,of Josiah,H2977,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,WORD,king,H4428,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,PHRASE,"of Judah,",H3063,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,WORD,unto,H5704,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,PHRASE,the carrying away,H1540,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,PHRASE,of Jerusalem,H3389,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,WORD,captive,H1540,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,WORD,in,H2320,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,PHRASE,the fifth,H2549,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:3,WORD,month.,H2320,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:4,WORD,Then,H1961,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:4,PHRASE,the word,H1697,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:4,PHRASE,of the LORD,H3068,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:4,WORD,came,H1961,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:4,PHRASE,"unto me,",H413,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:4,WORD,"saying,",H559,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:5,WORD,Before,H2962,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:5,PHRASE,I formed thee,H3335,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:5,PHRASE,in the belly,H990,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:5,PHRASE,I knew thee;,H3045,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:5,PHRASE,and before,H2962,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:5,PHRASE,thou camest forth,H3318,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:5,PHRASE,out of the womb,H7358,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:5,PHRASE,"I sanctified thee,",H6942,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:5,WORD,[and],,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:5,PHRASE,I ordained thee,H5414,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:5,PHRASE,a prophet,H5030,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:5,PHRASE,unto the nations.,H1471,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:6,PHRASE,"Then said I,",H559,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:6,WORD,"Ah,",H162,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:6,WORD,Lord,H136,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:6,WORD,GOD!,H3069,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:6,WORD,"behold,",H2009,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:6,WORD,,H3808,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:6,PHRASE,I cannot,H3045,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:6,WORD,speak:,H1696,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:6,WORD,for,H3588,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:6,WORD,I,H595,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:6,WORD,[am],,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:6,PHRASE,a child.,H5288,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,WORD,But,H559,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,PHRASE,the LORD,H3068,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,WORD,said,H559,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,PHRASE,"unto me,",H413,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,WORD,Say,H559,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,WORD,"not,",H408,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,WORD,I,H595,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,WORD,[am],,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,PHRASE,a child:,H5288,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,WORD,for,H3588,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,PHRASE,thou shalt go,H3212,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,WORD,to,H5921,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,WORD,all,H3605,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,WORD,that,H834,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,PHRASE,"I shall send thee,",H7971,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,WORD,and,H853,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,WORD,whatsoever,H3605,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,WORD,,H834,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,PHRASE,I command thee,H6680,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:7,PHRASE,thou shalt speak.,H1696,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:8,WORD,Be,H3372,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:8,WORD,not,H408,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:8,WORD,afraid,H3372,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:8,PHRASE,of their faces:,H6440,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:8,WORD,for,H3588,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:8,WORD,I,H589,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:8,WORD,[am],,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:8,PHRASE,with thee,H854,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:8,PHRASE,"to deliver thee,",H5337,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:8,WORD,saith,H5002,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:8,PHRASE,the LORD.,H3068,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:9,WORD,Then,H7971,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:9,PHRASE,the LORD,H3068,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:9,PHRASE,put forth,H7971,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:9,PHRASE,"his hand,",H3027,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:9,PHRASE,and touched,H5060,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:9,PHRASE,my mouth.,H6310,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:9,WORD,And,H559,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:9,PHRASE,the LORD,H3068,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:9,WORD,said,H559,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:9,PHRASE,"unto me,",H413,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:9,WORD,"Behold,",H2009,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:9,PHRASE,I have put,H5414,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:9,PHRASE,my words,H1697,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:9,PHRASE,in thy mouth.,H6310,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:10,WORD,"See,",H7200,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:10,PHRASE,I have,H6485,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:10,WORD,this,H2088,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:10,WORD,day,H3117,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:10,PHRASE,set thee,H6485,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:10,WORD,over,H5921,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:10,PHRASE,the nations,H1471,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:10,PHRASE,and over,H5921,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:10,PHRASE,"the kingdoms,",H4467,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:10,PHRASE,"to root out,",H5428,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:10,PHRASE,"and to pull down,",H5422,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:10,PHRASE,"and to destroy,",H6,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:10,PHRASE,"and to throw down,",H2040,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:10,PHRASE,"to build,",H1129,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:10,PHRASE,and to plant.,H5193,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:11,WORD,Moreover,H1961,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:11,PHRASE,the word,H1697,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:11,PHRASE,of the LORD,H3068,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:11,WORD,came,H1961,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:11,PHRASE,"unto me,",H413,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:11,WORD,"saying,",H559,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:11,WORD,"Jeremiah,",H3414,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:11,WORD,what,H4100,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:11,WORD,seest,H7200,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:11,WORD,thou?,H859,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:11,PHRASE,"And I said,",H559,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:11,WORD,I,H589,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:11,WORD,see,H7200,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:11,PHRASE,a rod,H4731,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:11,PHRASE,of an almond tree.,H8247,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:12,PHRASE,Then said,H559,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:12,PHRASE,the LORD,H3068,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:12,PHRASE,"unto me,",H413,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:12,PHRASE,Thou hast well,H3190,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:12,WORD,seen:,H7200,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:12,WORD,for,H3588,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:12,WORD,I,H589,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:12,PHRASE,will hasten,H8245,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:12,PHRASE,my word,H1697,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:12,PHRASE,to perform it.,H6213,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,WORD,And,H1961,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,PHRASE,the word,H1697,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,PHRASE,of the LORD,H3068,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,WORD,came,H1961,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,PHRASE,unto me,H413,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,PHRASE,"the second time,",H8145,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,WORD,"saying,",H559,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,WORD,What,H4100,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,WORD,seest,H7200,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,WORD,thou?,H859,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,PHRASE,"And I said,",H559,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,WORD,I,H589,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,WORD,see,H7200,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,WORD,a,H5518,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,WORD,seething,H5301,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,WORD,pot;,H5518,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,PHRASE,and the face thereof,H6440,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,WORD,[is],,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,WORD,toward,H6440,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:13,PHRASE,the north.,H6828,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:14,WORD,Then,H559,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:14,PHRASE,the LORD,H3068,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:14,WORD,said,H559,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:14,PHRASE,"unto me,",H413,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:14,PHRASE,Out of the north,H6828,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:14,PHRASE,an evil,H7451,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:14,PHRASE,shall break forth,H6605,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:14,WORD,upon,H5921,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:14,WORD,all,H3605,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:14,PHRASE,the inhabitants,H3427,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:14,PHRASE,of the land.,H776,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,WORD,"For,",H3588,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,WORD,"lo,",H2005,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,I will call,H7121,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,WORD,all,H3605,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,the families,H4940,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,of the kingdoms,H4467,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,"of the north,",H6828,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,WORD,saith,H5002,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,the LORD;,H3068,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,"and they shall come,",H935,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,and they shall set,H5414,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,every one,H376,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,his throne,H3678,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,at the entering,H6607,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,of the gates,H8179,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,"of Jerusalem,",H3389,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,and against,H5921,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,WORD,all,H3605,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,the walls thereof,H2346,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,"round about,",H5439,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,and against,H5921,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,WORD,all,H3605,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,the cities,H5892,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:15,PHRASE,of Judah.,H3063,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:16,PHRASE,And I will utter,H1696,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:16,PHRASE,my judgments,H4941,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:16,PHRASE,against them,H853,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:16,WORD,touching,H5921,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:16,WORD,all,H3605,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:16,PHRASE,"their wickedness,",H7451,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:16,WORD,who,H834,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:16,PHRASE,"have forsaken me,",H5800,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:16,PHRASE,and have burned incense,H6999,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:16,WORD,unto,H430,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:16,WORD,other,H312,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:16,WORD,"gods,",H430,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:16,PHRASE,and worshipped,H7812,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:16,PHRASE,the works,H4639,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:16,PHRASE,of their own hands.,H3027,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,PHRASE,Thou therefore,H859,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,PHRASE,gird up,H247,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,PHRASE,"thy loins,",H4975,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,PHRASE,"and arise,",H6965,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,PHRASE,and speak,H1696,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,PHRASE,unto them,H413,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,WORD,all,H3605,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,WORD,that,H834,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,WORD,I,H595,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,PHRASE,command thee:,H6680,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,WORD,be,H2865,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,WORD,not,H408,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,WORD,dismayed,H2865,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,PHRASE,"at their faces,",H6440,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,WORD,lest,H6435,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,PHRASE,I confound thee,H2865,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:17,PHRASE,before them.,H6440,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,WORD,"For,",H589,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,WORD,"behold,",H2009,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,WORD,I,H589,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,PHRASE,have made thee,H5414,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,PHRASE,this day,H3117,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,WORD,a,H5892,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,WORD,defenced,H4013,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,WORD,"city,",H5892,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,PHRASE,and an,H5982,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,WORD,iron,H1270,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,WORD,"pillar,",H5982,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,WORD,and,H2346,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,WORD,brasen,H5178,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,WORD,walls,H2346,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,WORD,against,H5921,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,WORD,the,H776,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,WORD,whole,H3605,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,WORD,"land,",H776,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,PHRASE,against the kings,H4428,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,PHRASE,"of Judah,",H3063,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,PHRASE,"against the princes thereof,",H8269,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,PHRASE,"against the priests thereof,",H3548,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,PHRASE,and against the people,H5971,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:18,PHRASE,of the land.,H776,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:19,PHRASE,And they shall fight,H3898,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:19,PHRASE,against thee;,H413,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:19,WORD,but,H3808,Major Prophets,Old Testament,Jeremiah,KJV
1,Jeremiah1:19,PHRASE,they shall,H3201,Major Prophets,Old Testament,Jeremiah,KJV
